Rank	Kanji	Occurrences	Percentage	Cumulative%	Heisig Index	Heisig Keyword
1185	乳	11376	0.01%	94.70%	729	milk
1186	挑	11369	0.01%	94.71%	658	challenge
1187	浮	11368	0.01%	94.72%	730	floating
1188	尚	11312	0.01%	94.73%	184	esteem
1189	序	11298	0.01%	94.74%	1594	preface
1190	柳	11271	0.01%	94.75%	1421	willow
1191	溶	11260	0.01%	94.76%	791	melt
1192	賛	11215	0.01%	94.77%	843	approve
1193	敬	11184	0.01%	94.78%	334	awe
1194	患	11175	0.01%	94.79%	604	afflicted
1195	鏡	11153	0.01%	94.81%	483	mirror
1196	腕	11144	0.01%	94.82%	1418	arm
1197	艇	11141	0.01%	94.83%	1876	rowboat
1198	午	11121	0.01%	94.84%	568	noon
1199	鈴	11104	0.01%	94.85%	1406	small bell
1200	抵	11079	0.01%	94.86%	1832	resist
1201	珍	11032	0.01%	94.87%	1723	rare
1202	卵	10986	0.01%	94.88%	1422	egg
1203	床	10915	0.01%	94.89%	592	bed
1204	智	10894	0.01%	94.90%	1224	wisdom
1205	誉	10884	0.01%	94.91%	1939	reputation
1206	貞	10863	0.01%	94.92%	55	upright
1207	獣	10855	0.01%	94.93%	1933	animal
1208	頂	10841	0.01%	94.94%	94	place on the head
1209	掘	10840	0.01%	94.95%	1061	dig
1210	棄	10815	0.01%	94.96%	758	abandon
1211	裂	10814	0.01%	94.97%	813	split
1212	夕	10759	0.01%	94.98%	109	evening
1213	飯	10671	0.01%	94.99%	1473	meal
1214	募	10655	0.01%	95.00%	861	recruit
1215	羅	10636	0.01%	95.01%	1342	gauze
1216	眼	10631	0.01%	95.02%	1467	eyeball
1217	隻	10619	0.01%	95.03%	699	vessels
1218	緒	10608	0.01%	95.04%	1344	thong
1219	腹	10587	0.01%	95.05%	464	abdomen
1220	輝	10584	0.01%	95.06%	302	radiance
1221	塗	10531	0.01%	95.07%	1663	paint
1222	唐	10431	0.01%	95.08%	1157	T'ang
1223	如	10421	0.01%	95.09%	100	likeness
1224	渉	10410	0.01%	95.10%	372	ford
1225	誇	10403	0.01%	95.11%	1244	boast
1226	葬	10380	0.01%	95.12%	816	interment
1227	郊	10361	0.01%	95.13%	1844	outskirts
1228	薄	10330	0.01%	95.14%	227	dilute
1229	牛	10305	0.01%	95.15%	245	cow
1230	慣	10281	0.01%	95.16%	627	accustomed
1231	嫌	10263	0.01%	95.17%	1598	dislike
1232	炎	10244	0.01%	95.18%	162	inflammation
1233	趣	10204	0.01%	95.19%	820	gist
1234	耐	10148	0.01%	95.20%	1164	-proof
1235	渋	10148	0.01%	95.21%	1738	astringent
1236	顕	10145	0.01%	95.22%	1789	appear
1237	拒	10105	0.01%	95.23%	857	repel
1238	漁	10078	0.01%	95.24%	172	fishing
1239	翻	10043	0.01%	95.24%	1911	flip
1240	鬼	10033	0.01%	95.25%	2019	ghost
1241	岳	10005	0.01%	95.26%	1330	Point
1242	婦	9931	0.01%	95.27%	1151	lady
1243	緯	9927	0.01%	95.28%	1645	horizontal
1244	盗	9919	0.01%	95.29%	1451	steal
1245	稿	9890	0.01%	95.30%	892	draft
1246	廷	9879	0.01%	95.31%	508	courts
1247	浴	9879	0.01%	95.32%	789	bathe
1248	硬	9818	0.01%	95.33%	695	stiff
1249	丹	9798	0.01%	95.34%	2038	cinnabar
1250	亀	9797	0.01%	95.35%	534	tortoise
1251	梅	9751	0.01%	95.36%	460	plum
1252	裕	9746	0.01%	95.37%	793	abundant
1253	仰	9712	0.01%	95.38%	1701	faceup
1254	暮	9694	0.01%	95.38%	232	livelihood
1255	該	9679	0.01%	95.39%	1522	above-stated
1256	刀	9633	0.01%	95.40%	83	sword
1257	隔	9601	0.01%	95.41%	1312	isolate
1258	駒	9599	0.01%	95.42%	1979	pony
1259	握	9579	0.01%	95.43%	1059	grip
1260	鳴	9542	0.01%	95.44%	1942	chirp
1261	僚	9536	0.01%	95.45%	1707	colleague
1262	滞	9531	0.01%	95.46%	416	stagnate
1263	径	9511	0.01%	95.47%	882	diameter
1264	灯	9429	0.01%	95.47%	165	lamp
1265	洗	9418	0.01%	95.48%	249	wash
1266	俊	9392	0.01%	95.49%	1014	sagacious
1267	菱	9381	0.01%	95.50%	1517	diamond
1268	禄	9318	0.01%	95.51%	2602	salarium
1269	晴	9318	0.01%	95.52%	1538	clear up
1270	礎	9312	0.01%	95.53%	394	cornerstone
1271	債	9306	0.01%	95.54%	1544	bond
1272	摂	9262	0.01%	95.54%	1739	vicarious
1273	勇	9262	0.01%	95.55%	1407	courage
1274	借	9251	0.01%	95.56%	1186	borrow
1275	揚	9216	0.01%	95.57%	664	hoist
1276	戒	9192	0.01%	95.58%	676	commandment
1277	爵	9147	0.01%	95.59%	1463	baron
1278	徐	9134	0.01%	95.60%	1659	gradually
1279	箱	9130	0.01%	95.61%	942	box
1280	往	9121	0.01%	95.61%	880	journey
1281	棋	9108	0.01%	95.62%	1763	chess piece
1282	彩	9102	0.01%	95.63%	1714	coloring
1283	詰	9076	0.01%	95.64%	343	packed
1284	但	9066	0.01%	95.65%	953	however
1285	穴	9028	0.01%	95.66%	1316	hole
1286	蒸	9007	0.01%	95.67%	1900	steam
1287	枝	8970	0.01%	95.67%	713	bough
1288	幾	8952	0.01%	95.68%	1381	how many
1289	冒	8938	0.01%	95.69%	18	risk
1290	奴	8892	0.01%	95.70%	702	guy
1291	狙	8889	0.01%	95.71%	2344	aim at
1292	妙	8879	0.01%	95.72%	123	exquisite
1293	僧	8877	0.01%	95.72%	982	Buddhist priest
1294	玄	8867	0.01%	95.73%	1383	mysterious
1295	迷	8840	0.01%	95.74%	924	astray
1296	逮	8818	0.01%	95.75%	1160	apprehend
1297	随	8791	0.01%	95.76%	1298	follow
1298	氷	8761	0.01%	95.77%	131	icicle
1299	誰	8752	0.01%	95.77%	2712	who?
1300	培	8748	0.01%	95.78%	477	cultivate
1301	捜	8745	0.01%	95.79%	1120	search
1302	柱	8713	0.01%	95.80%	268	pillar
1303	李	8662	0.01%	95.81%	2511	damson
1304	償	8653	0.01%	95.82%	985	reparation
1305	輩	8651	0.01%	95.82%	1637	comrade
1306	覆	8637	0.01%	95.83%	1611	capsize
1307	雇	8637	0.01%	95.84%	1083	employ
1308	潮	8612	0.01%	95.85%	141	tide
1309	譜	8611	0.01%	95.86%	1787	musical score
1310	也	8568	0.01%	95.86%	2094	est
1311	荘	8545	0.01%	95.87%	322	villa
1312	賃	8524	0.01%	95.88%	1004	fare
1313	繋	8501	0.01%	95.89%	2655	link up
1314	滑	8488	0.01%	95.90%	1289	slippery
1315	頻	8485	0.01%	95.90%	373	repeatedly
1316	拝	8484	0.01%	95.91%	1564	worship
1317	括	8476	0.01%	95.92%	661	fasten
1318	柔	8469	0.01%	95.93%	1226	tender
1319	徹	8457	0.01%	95.94%	886	penetrate
1320	拳	8442	0.01%	95.94%	2917	fist
1321	弥	8432	0.01%	95.95%	2241	more and more
1322	飼	8417	0.01%	95.96%	1866	domesticate
1323	奨	8412	0.01%	95.97%	732	exhort
1324	銅	8389	0.01%	95.98%	272	copper
1325	診	8388	0.01%	95.98%	1724	checkup
1326	怒	8358	0.01%	95.99%	703	angry
1327	孝	8355	0.01%	96.00%	1253	filial piety
1328	透	8347	0.01%	96.01%	915	transparent
1329	衰	8319	0.01%	96.01%	1890	decline
1330	豆	8312	0.01%	96.02%	1440	beans
1331	痛	8285	0.01%	96.03%	1690	pain
1332	紅	8265	0.01%	96.04%	1355	crimson
1333	筒	8232	0.01%	96.05%	944	cylinder
1334	勧	8169	0.01%	96.05%	864	persuade
1335	拓	8154	0.01%	96.06%	651	clear the land
1336	符	8151	0.01%	96.07%	1001	token
1337	騒	8140	0.01%	96.08%	1985	boisterous
1338	晶	8114	0.01%	96.08%	22	sparkle
1339	貸	8063	0.01%	96.09%	1007	lend
1340	穂	8050	0.01%	96.10%	909	ear of a plant
1341	欲	8026	0.01%	96.11%	792	longing
1342	陵	8022	0.01%	96.11%	1518	mausoleum
1343	尽	8020	0.01%	96.12%	1071	exhaust
1344	遇	8020	0.01%	96.13%	1956	interview
1345	晩	7998	0.01%	96.14%	1974	nightfall
1346	箇	7979	0.01%	96.15%	2029	item
1347	梨	7973	0.01%	96.15%	907	pear tree
1348	貧	7972	0.01%	96.16%	782	poverty
1349	悲	7965	0.01%	96.17%	1635	sad
1350	隷	7959	0.01%	96.18%	2036	slave
1351	偽	7935	0.01%	96.18%	1919	falsehood
1352	糸	7925	0.01%	96.19%	1333	thread
1353	茨	7920	0.01%	96.20%	472	briar
1354	斉	7895	0.01%	96.20%	1729	adjusted
1355	緩	7876	0.01%	96.21%	1952	slacken
1356	髪	7816	0.01%	96.22%	1924	hair of the head
1357	鋼	7795	0.01%	96.23%	1962	steel
1358	雅	7782	0.01%	96.23%	1907	gracious
1359	顧	7759	0.01%	96.24%	1084	look back
1360	句	7755	0.01%	96.25%	65	phrase
1361	届	7728	0.01%	96.26%	1110	deliver
1362	旋	7726	0.01%	96.26%	1046	rotation
1363	嘉	7722	0.01%	96.27%	2852	applaud
1364	塾	7718	0.01%	96.28%	309	cram school
1365	昼	7691	0.01%	96.29%	1075	daytime
1366	看	7690	0.01%	96.29%	638	watch over
1367	乾	7688	0.01%	96.30%	463	drought
1368	垣	7681	0.01%	96.31%	154	hedge
1369	笠	7659	0.01%	96.31%	939	bamboo hat
1370	斜	7650	0.01%	96.32%	1662	diagonal
1371	鑑	7625	0.01%	96.33%	1455	specimen
1372	劣	7579	0.01%	96.34%	862	inferiority
1373	洞	7574	0.01%	96.34%	181	den
1374	筑	7556	0.01%	96.35%	2637	ancient harp
1375	幡	7555	0.01%	96.36%	2232	banner
1376	紫	7539	0.01%	96.36%	1375	purple
1377	勲	7521	0.01%	96.37%	1677	meritorious deed
1378	昌	7520	0.01%	96.38%	25	prosperous
1379	浄	7459	0.01%	96.39%	1155	clean
1380	促	7454	0.01%	96.39%	1280	stimulate
1381	需	7446	0.01%	96.40%	1165	demand
1382	偵	7445	0.01%	96.41%	981	spy
1383	擁	7431	0.01%	96.41%	1387	hug
1384	浪	7426	0.01%	96.42%	1470	wandering
1385	緊	7420	0.01%	96.43%	1374	tense
1386	庄	7366	0.01%	96.43%	2238	shire
1387	呂	7363	0.01%	96.44%	24	spine
1388	憶	7358	0.01%	96.45%	632	recollection
1389	粉	7353	0.01%	96.46%	920	flour
1390	斎	7326	0.01%	96.46%	1732	purification
1391	罰	7313	0.01%	96.47%	833	penalty
1392	菊	7303	0.01%	96.48%	927	chrysanthemum
1393	麗	7295	0.01%	96.48%	2002	lovely
1394	扉	7288	0.01%	96.49%	1638	front door
1395	劉	7285	0.01%	96.50%	2143	slaughter
1396	貿	7279	0.01%	96.50%	1424	trade
1397	贈	7241	0.01%	96.51%	503	presents
1398	紛	7238	0.01%	96.52%	1358	distract
1399	肥	7219	0.01%	96.52%	1756	fertilizer
1400	寝	7210	0.01%	96.53%	1150	lie down
1401	祝	7210	0.01%	96.54%	1089	celebrate
1402	滝	7209	0.01%	96.54%	537	waterfall
1403	旨	7196	0.01%	96.55%	455	delicious
1404	屈	7184	0.01%	96.56%	1060	yield
1405	逐	7182	0.01%	96.56%	539	pursue
1406	糖	7180	0.01%	96.57%	1158	sugar
1407	努	7177	0.01%	96.58%	865	toil
1408	淡	7171	0.01%	96.59%	164	thin
1409	謝	7164	0.01%	96.59%	1250	apologize
1410	畑	7136	0.01%	96.60%	166	farm
1411	峰	7114	0.01%	96.61%	1562	summit
1412	煙	7093	0.01%	96.61%	1612	smoke
1413	刷	7073	0.01%	96.62%	1069	printing
1414	紋	7062	0.01%	96.63%	1727	family crest
1415	塞	7058	0.01%	96.63%	2214	block up
1416	撲	7041	0.01%	96.64%	1793	slap
1417	泰	7039	0.01%	96.65%	1570	peaceful
1418	狩	7039	0.01%	96.65%	243	hunt
1419	磨	7033	0.01%	96.66%	594	grind
1420	脇	7023	0.01%	96.67%	870	armpit
1421	逸	7004	0.01%	96.67%	1973	elude
1422	恒	7004	0.01%	96.68%	620	constancy
1423	媒	6982	0.01%	96.68%	1761	mediator
1424	侯	6980	0.01%	96.69%	1639	marquis
1425	泊	6964	0.01%	96.70%	147	overnight
1426	峡	6927	0.01%	96.70%	1265	gorge
1427	膜	6914	0.01%	96.71%	233	membrane
1428	偶	6910	0.01%	96.72%	1955	accidentally
1429	添	6902	0.01%	96.72%	634	annexed
1430	附	6892	0.01%	96.73%	1303	affixed
1431	誠	6882	0.01%	96.74%	363	sincerity
1432	獄	6876	0.01%	96.74%	338	prison
1433	寒	6811	0.01%	96.75%	1526	cold
1434	巣	6793	0.01%	96.76%	1927	nest
1435	薩	6791	0.01%	96.76%	2956	bodhisattva
1436	袋	6788	0.01%	96.77%	1006	sack
1437	曹	6773	0.01%	96.78%	1173	cadet
1438	桂	6771	0.01%	96.78%	198	Japanese Judas-tree
1439	墳	6764	0.01%	96.79%	1198	tomb
1440	棒	6727	0.01%	96.79%	1575	rod
1441	臓	6724	0.01%	96.80%	851	entrails
1442	熟	6709	0.01%	96.81%	310	mellow
1443	澤	6706	0.01%	96.81%	-	-
1444	碑	6702	0.01%	96.82%	1512	tombstone
1445	捨	6682	0.01%	96.83%	655	discard
1446	芳	6679	0.01%	96.83%	493	perfumed
1447	汚	6667	0.01%	96.84%	1245	dirty
1448	栽	6651	0.01%	96.85%	358	plantation
1449	賢	6649	0.01%	96.85%	852	intelligent
1450	殆	6602	0.01%	96.86%	2871	almost
1451	挟	6484	0.01%	96.86%	1267	sandwiched
1452	畿	6482	0.01%	96.87%	2887	capital suburbs
1453	坊	6476	0.01%	96.88%	492	boy
1454	踊	6448	0.01%	96.88%	1409	jump
1455	肩	6438	0.01%	96.89%	1077	shoulder
1456	亭	6430	0.01%	96.89%	311	pavilion
1457	粒	6424	0.01%	96.90%	922	grains
1458	預	6406	0.01%	96.91%	1595	deposit
1459	叙	6386	0.01%	96.91%	1660	confer
1460	偏	6354	0.01%	96.92%	1823	partial
1461	狂	6343	0.01%	96.92%	260	lunatic
1462	栗	6327	0.01%	96.93%	1609	chestnut
1463	悩	6310	0.01%	96.94%	1935	trouble
1464	尉	6307	0.01%	96.94%	1095	military officer
1465	傍	6295	0.01%	96.95%	1015	bystander
1466	烈	6279	0.01%	96.95%	814	ardent
1467	堅	6254	0.01%	96.96%	853	strict
1468	披	6243	0.01%	96.97%	805	expose
1469	幻	6236	0.01%	96.97%	1862	phantasm
1470	祀	6235	0.01%	96.98%	2992	enshrine
1471	峠	6220	0.01%	96.98%	773	mountain peak
1472	傘	6214	0.01%	96.99%	1026	umbrella
1473	眠	6214	0.01%	97.00%	1835	sleep
1474	驚	6205	0.01%	97.00%	1987	wonder
1475	葛	6193	0.01%	97.01%	2398	kudzu
1476	彰	6186	0.01%	97.01%	1715	patent
1477	銭	6180	0.01%	97.02%	368	coin
1478	遷	6178	0.01%	97.02%	1610	transition
1479	祥	6136	0.01%	97.03%	1088	auspicious
1480	酵	6130	0.01%	97.04%	1430	fermentation
1481	脂	6124	0.01%	97.04%	456	fat
1482	耳	6109	0.01%	97.05%	818	ear
1483	曽	6085	0.01%	97.05%	501	formerly
1484	梁	6081	0.01%	97.06%	2299	roofbeam
1485	妃	6081	0.01%	97.06%	527	queen
1486	卿	6049	0.01%	97.07%	2898	magistrate
1487	菜	6040	0.01%	97.08%	734	vegetable
1488	灰	6039	0.01%	97.08%	168	ashes
1489	喫	6013	0.01%	97.09%	1550	consume
1490	冊	6010	0.01%	97.09%	1826	tome
1491	阻	6003	0.01%	97.10%	1780	thwart
1492	挿	6000	0.01%	97.10%	1116	insert
1493	涯	5989	0.01%	97.11%	157	horizon
1494	訟	5988	0.01%	97.12%	787	sue
1495	甘	5982	0.01%	97.12%	1757	sweet
1496	噴	5980	0.01%	97.13%	1197	erupt
1497	剛	5960	0.01%	97.13%	1964	sturdy
1498	稼	5954	0.01%	97.14%	893	earnings
1499	旬	5936	0.01%	97.14%	67	decameron
1500	酷	5927	0.01%	97.15%	1431	cruel
1501	悟	5925	0.01%	97.15%	622	enlightenment
1502	蓮	5923	0.01%	97.16%	2360	lotus
1503	懸	5909	0.01%	97.17%	1394	suspend
1504	昔	5899	0.01%	97.17%	1184	once upon a time
1505	旭	5863	0.01%	97.18%	27	rising sun
1506	敏	5860	0.01%	97.18%	459	cleverness
1507	胸	5853	0.01%	97.19%	1491	bosom
1508	邸	5845	0.01%	97.19%	1841	residence
1509	呉	5814	0.01%	97.20%	1897	give
1510	桃	5793	0.01%	97.20%	236	peach tree
1511	暖	5773	0.01%	97.21%	1949	warmth
1512	虐	5747	0.01%	97.22%	1998	tyrannize
1513	遭	5737	0.01%	97.22%	1174	encounter
1514	垂	5722	0.01%	97.23%	1582	droop
1515	匠	5711	0.01%	97.23%	1693	artisan
1516	駿	5707	0.01%	97.24%	2060	steed
1517	幣	5703	0.01%	97.24%	1040	cash
1518	牡	5701	0.01%	97.25%	2552	male animal
1519	吾	5693	0.01%	97.25%	17	I
1520	宰	5674	0.01%	97.26%	1499	superintend
1521	恩	5656	0.01%	97.26%	606	grace
1522	彫	5653	0.01%	97.27%	1710	carve
1523	措	5618	0.01%	97.27%	1188	set aside
1524	虎	5604	0.01%	97.28%	1990	tiger
1525	忍	5600	0.01%	97.29%	597	endure
1526	后	5589	0.01%	97.29%	1861	empress
1527	謎	5565	0.01%	97.30%	2709	riddle
1528	伐	5564	0.01%	97.30%	994	fell
1529	軒	5540	0.01%	97.31%	1652	flats
1530	瞬	5528	0.01%	97.31%	817	wink
1531	勃	5522	0.01%	97.32%	2858	erection
1532	栃	5488	0.01%	97.32%	514	horse chestnut
1533	軟	5454	0.01%	97.33%	470	soft
1534	貯	5452	0.01%	97.33%	194	savings
1535	浸	5419	0.01%	97.34%	1149	immersed
1536	掌	5412	0.01%	97.34%	801	manipulate
1537	祉	5392	0.01%	97.35%	1091	welfare
1538	泳	5388	0.01%	97.35%	136	swim
1539	湿	5379	0.01%	97.36%	1788	damp
1540	魅	5367	0.01%	97.36%	2023	fascination
1541	謡	5362	0.01%	97.37%	1968	Noh chanting
1542	崇	5330	0.01%	97.37%	1101	adore
1543	滋	5325	0.01%	97.38%	1388	nourishing
1544	猫	5315	0.01%	97.38%	244	cat
1545	卓	5313	0.01%	97.39%	51	eminent
1546	於	5308	0.01%	97.39%	2900	within
1547	銘	5288	0.00%	97.40%	275	inscription
1548	輔	5287	0.00%	97.40%	2730	reinforce
1549	洲	5287	0.00%	97.41%	2289	continent
1550	旦	5271	0.00%	97.41%	30	nightbreak
1551	蘭	5269	0.00%	97.42%	2363	orchid
1552	弓	5255	0.00%	97.42%	1231	bow
1553	脅	5244	0.00%	97.43%	871	threaten
1554	抽	5231	0.00%	97.43%	1106	pluck
1555	帳	5218	0.00%	97.44%	1922	notebook
1556	珠	5212	0.00%	97.44%	258	pearl
1557	妖	5210	0.00%	97.45%	2078	bewitched
1558	浩	5183	0.00%	97.45%	2311	abounding
1559	蘇	5181	0.00%	97.46%	2380	resurrect
1560	膨	5144	0.00%	97.46%	1719	swell
1561	拘	5121	0.00%	97.47%	654	arrest
1562	啓	5112	0.00%	97.47%	1085	disclose
1563	召	5109	0.00%	97.48%	86	seduce
1564	菓	5094	0.00%	97.48%	1122	candy
1565	控	5089	0.00%	97.49%	1318	withdraw
1566	磐	5089	0.00%	97.49%	2586	crag
1567	疾	5084	0.00%	97.50%	1686	rapidly
1568	陳	5076	0.00%	97.50%	1301	line up
1569	魂	5053	0.00%	97.50%	2021	soul
1570	捉	5043	0.00%	97.51%	2260	nab
1571	墜	5040	0.00%	97.51%	1307	crash
1572	鋭	5021	0.00%	97.52%	500	pointed
1573	猛	4987	0.00%	97.52%	1456	fierce
1574	昆	4984	0.00%	97.53%	448	descendants
1575	辛	4979	0.00%	97.53%	1496	spicy
1576	盾	4972	0.00%	97.54%	1853	shield
1577	嶋	4969	0.00%	97.54%	2976	island [alternate]
1578	鼻	4945	0.00%	97.55%	678	nose
1579	励	4943	0.00%	97.55%	866	encourage
1580	蓄	4941	0.00%	97.56%	1385	amass
1581	洪	4925	0.00%	97.56%	1799	deluge
1582	嫡	4886	0.00%	97.57%	440	legitimate wife
1583	桁	4877	0.00%	97.57%	2483	girder
1584	粋	4872	0.00%	97.57%	925	chic
1585	堤	4871	0.00%	97.58%	390	dike
1586	丈	4867	0.00%	97.58%	691	length
1587	尼	4864	0.00%	97.59%	1054	nun
1588	殻	4864	0.00%	97.59%	710	husk
1589	尻	4855	0.00%	97.60%	2220	buttocks
1590	皆	4851	0.00%	97.60%	449	all
1591	勅	4838	0.00%	97.61%	1667	imperial order
1592	揃	4838	0.00%	97.61%	2255	muster
1593	硫	4822	0.00%	97.62%	763	sulfur
1594	赴	4812	0.00%	97.62%	386	proceed
1595	薦	4807	0.00%	97.63%	2000	recommend
1596	禅	4754	0.00%	97.63%	1930	Zen
1597	沙	4753	0.00%	97.63%	2296	grains of sand
1598	鍵	4744	0.00%	97.64%	2761	key
1599	稀	4731	0.00%	97.64%	2611	sparse
1600	棟	4721	0.00%	97.65%	505	ridgepole
1601	朱	4716	0.00%	97.65%	221	vermilion
1602	孤	4715	0.00%	97.66%	1879	orphan
1603	克	4695	0.00%	97.66%	104	overcome
1604	宏	4693	0.00%	97.67%	2212	extensive
1605	蒲	4691	0.00%	97.67%	1838	bullrush
1606	壇	4685	0.00%	97.67%	587	podium
1607	斐	4682	0.00%	97.68%	2897	symmetrically patterned
1608	斬	4682	0.00%	97.68%	2092	chop off
1609	賊	4668	0.00%	97.69%	357	burglar
1610	稚	4660	0.00%	97.69%	896	immature
1611	閥	4657	0.00%	97.70%	1619	clique
1612	釣	4653	0.00%	97.70%	273	angling
1613	桑	4650	0.00%	97.70%	698	mulberry
1614	腐	4648	0.00%	97.71%	1023	rot
1615	渓	4643	0.00%	97.71%	840	mountain stream
1616	貝	4628	0.00%	97.72%	54	shellfish
1617	寮	4624	0.00%	97.72%	1708	dormitory
1618	媛	4606	0.00%	97.73%	1950	beautiful woman
1619	朗	4606	0.00%	97.73%	1469	melodious
1620	柴	4602	0.00%	97.74%	2044	brushwood
1621	椎	4583	0.00%	97.74%	2505	sweet oak
1622	宋	4578	0.00%	97.74%	2215	Sung dynasty
1623	秩	4576	0.00%	97.75%	903	regularity
1624	畳	4575	0.00%	97.75%	1784	tatami mat
1625	怖	4566	0.00%	97.76%	623	dreadful
1626	屯	4561	0.00%	97.76%	2033	barracks
1627	祐	4547	0.00%	97.77%	2599	ancestral tablet
1628	勘	4542	0.00%	97.77%	1769	intuition
1629	牽	4535	0.00%	97.77%	2550	tug
1630	柏	4521	0.00%	97.78%	199	oak
1631	巧	4490	0.00%	97.78%	1241	adroit
1632	懐	4478	0.00%	97.79%	828	pocket
1633	茎	4445	0.00%	97.79%	715	stalk
1634	履	4442	0.00%	97.80%	1057	footgear
1635	麦	4433	0.00%	97.80%	1533	barley
1636	祈	4430	0.00%	97.80%	1128	pray
1637	咲	4430	0.00%	97.81%	2018	blossom
1638	衡	4413	0.00%	97.81%	891	equilibrium
1639	呈	4384	0.00%	97.82%	262	display
1640	郭	4375	0.00%	97.82%	1842	enclosure
1641	繊	4367	0.00%	97.82%	1790	slender
1642	耕	4364	0.00%	97.83%	1808	till
1643	倫	4362	0.00%	97.83%	1821	ethics
1644	腸	4343	0.00%	97.84%	544	intestines
1645	溝	4342	0.00%	97.84%	1819	gutter
1646	枢	4331	0.00%	97.84%	1697	hinge
1647	侍	4320	0.00%	97.85%	976	waiter
1648	剰	4319	0.00%	97.85%	1586	surplus
1649	播	4313	0.00%	97.86%	2262	disseminate
1650	堺	4296	0.00%	97.86%	-	-
1651	雰	4294	0.00%	97.87%	2028	atmosphere
1652	戯	4292	0.00%	97.87%	1994	frolic
1653	夷	4287	0.00%	97.87%	2881	ebisu
1654	胴	4279	0.00%	97.88%	182	trunk
1655	妨	4277	0.00%	97.88%	491	disturb
1656	慎	4267	0.00%	97.89%	630	humility
1657	寸	4264	0.00%	97.89%	45	measurement
1658	犠	4263	0.00%	97.89%	643	sacrifice
1659	搬	4262	0.00%	97.90%	1873	conveyor
1660	菅	4258	0.00%	97.90%	2410	sedge
1661	辰	4254	0.00%	97.91%	2008	sign of the dragon
1662	邪	4243	0.00%	97.91%	1906	wicked
1663	粘	4228	0.00%	97.91%	921	sticky
1664	腰	4224	0.00%	97.92%	1605	loins
1665	雀	4221	0.00%	97.92%	2878	sparrow
1666	盆	4217	0.00%	97.93%	1449	basin
1667	匹	4205	0.00%	97.93%	1695	equal
1668	晋	4185	0.00%	97.93%	2436	progress
1669	循	4179	0.00%	97.94%	1854	sequential
1670	鷹	4175	0.00%	97.94%	2237	hawk
1671	勉	4172	0.00%	97.95%	1975	exertion
1672	忘	4147	0.00%	97.95%	596	forget
1673	訂	4140	0.00%	97.95%	339	revise
1674	宜	4137	0.00%	97.96%	1783	best regards
1675	拍	4136	0.00%	97.96%	652	clap
1676	掃	4126	0.00%	97.96%	1152	sweep
1677	牝	4111	0.00%	97.97%	2551	female animal
1678	釜	4102	0.00%	97.97%	2332	cauldron
1679	揺	4098	0.00%	97.98%	1967	swing
1680	肢	4093	0.00%	97.98%	714	limb
1681	國	4090	0.00%	97.98%	2988	country [old]
1682	陶	4090	0.00%	97.99%	1966	pottery
1683	舟	4082	0.00%	97.99%	1868	boat
1684	庶	4076	0.00%	98.00%	1191	commoner
1685	肝	4069	0.00%	98.00%	1649	liver
1686	函	4067	0.00%	98.00%	1902	bin
1687	嗣	4060	0.00%	98.01%	1867	heir
1688	尿	4057	0.00%	98.01%	1053	urine
1689	噂	4056	0.00%	98.01%	2161	gossip
1690	泥	4053	0.00%	98.02%	1055	mud
1691	蓋	4029	0.00%	98.02%	2388	lid
1692	慢	4012	0.00%	98.03%	829	ridicule
1693	僅	4009	0.00%	98.03%	2116	trifle
1694	秦	3994	0.00%	98.03%	2877	Manchu dynasty
1695	篠	3992	0.00%	98.04%	2639	slender bamboo
1696	牲	3988	0.00%	98.04%	1559	animal sacrifice
1697	孔	3982	0.00%	98.04%	96	cavity
1698	桐	3981	0.00%	98.05%	204	paulownia
1699	斗	3974	0.00%	98.05%	1177	Big Dipper
1700	琉	3971	0.00%	98.06%	2557	lapis lazuli
1701	乏	3959	0.00%	98.06%	1215	destitution
1702	凍	3935	0.00%	98.06%	506	frozen
1703	叩	3921	0.00%	98.07%	2166	bash
1704	暫	3920	0.00%	98.07%	1134	temporarily
1705	叔	3917	0.00%	98.07%	718	uncle
1706	炉	3913	0.00%	98.08%	1080	hearth
1707	擬	3888	0.00%	98.08%	1411	mimic
1708	燥	3863	0.00%	98.09%	215	parch
1709	虜	3862	0.00%	98.09%	1991	captive
1710	乙	3837	0.00%	98.09%	71	fish guts
1711	嵐	3834	0.00%	98.10%	777	storm
1712	蜂	3830	0.00%	98.10%	2687	bee
1713	肺	3827	0.00%	98.10%	414	lungs
1714	芽	3800	0.00%	98.11%	1905	bud
1715	癌	3790	0.00%	98.11%	2576	cancer
1716	錦	3788	0.00%	98.11%	411	brocade
1717	舶	3782	0.00%	98.12%	1869	liner
1718	扇	3771	0.00%	98.12%	1079	fan
1719	疎	3771	0.00%	98.13%	1668	alienate
1720	黙	3746	0.00%	98.13%	240	silence
1721	尋	3726	0.00%	98.13%	1145	inquire
1722	朽	3722	0.00%	98.14%	1243	decay
1723	闇	3703	0.00%	98.14%	2777	pitch dark
1724	惨	3687	0.00%	98.14%	1721	wretched
1725	蛇	3684	0.00%	98.15%	519	snake
1726	臭	3670	0.00%	98.15%	122	stinking
1727	猿	3649	0.00%	98.15%	403	monkey
1728	琴	3648	0.00%	98.16%	1591	harp
1729	應	3621	0.00%	98.16%	-	-
1730	腫	3615	0.00%	98.16%	2467	tumor
