Rank	Kanji	Occurrences	Percentage	Cumulative%	Heisig Index	Heisig Keyword
362	管	76510	0.07%	69.07%	1273	pipe
363	陸	76484	0.07%	69.14%	1513	land
364	打	76048	0.07%	69.21%	653	strike
365	英	75916	0.07%	69.28%	1741	England
366	郡	75653	0.07%	69.35%	1843	county
367	松	75578	0.07%	69.43%	785	pine tree
368	氏	75557	0.07%	69.50%	1828	family name
369	過	75366	0.07%	69.57%	1293	overdo
370	残	75010	0.07%	69.64%	808	remainder
371	接	74970	0.07%	69.71%	672	touch
372	施	74861	0.07%	69.78%	1045	alms
373	頭	74752	0.07%	69.85%	1441	head
374	予	74562	0.07%	69.92%	1593	beforehand
375	限	74556	0.07%	69.99%	1466	limit
376	親	74374	0.07%	70.06%	1504	parent
377	態	73982	0.07%	70.13%	2005	attitude
378	観	73428	0.07%	70.20%	572	outlook
379	切	73360	0.07%	70.27%	85	cut
380	競	73307	0.07%	70.34%	434	vie
381	究	73301	0.07%	70.41%	1320	research
382	込	73293	0.07%	70.48%	780	crowded
383	美	72819	0.07%	70.54%	548	beauty
384	井	72524	0.07%	70.61%	1806	well
385	情	72205	0.07%	70.68%	1537	feelings
386	含	72084	0.07%	70.75%	1588	include
387	離	71849	0.07%	70.82%	1492	detach
388	皇	71836	0.07%	70.88%	261	emperor
389	件	71833	0.07%	70.95%	959	affair
390	確	71654	0.07%	71.02%	567	assurance
391	述	71583	0.07%	71.09%	1524	mention
392	急	71349	0.07%	71.15%	1146	hurry
393	園	71247	0.07%	71.22%	585	park
394	質	71174	0.07%	71.29%	1137	substance
395	旧	70980	0.07%	71.36%	35	olden times
396	葉	70902	0.07%	71.42%	228	leaf
397	係	70891	0.07%	71.49%	1392	person in charge
398	影	70459	0.07%	71.56%	1712	shadow
399	攻	70390	0.07%	71.62%	330	aggression
400	食	70351	0.07%	71.69%	1472	eat
401	更	70288	0.07%	71.75%	694	grow late
402	館	69962	0.07%	71.82%	1478	Bldg.
403	米	69923	0.07%	71.89%	919	rice
404	真	69816	0.07%	71.95%	75	TRUE
405	昭	69814	0.07%	72.02%	87	shining
406	愛	69725	0.07%	72.08%	737	love
407	星	69683	0.07%	72.15%	1556	star
408	思	69167	0.07%	72.21%	605	think
409	与	68972	0.07%	72.28%	1246	bestow
410	走	68922	0.06%	72.34%	384	run
411	福	68848	0.06%	72.41%	1090	blessing
412	良	68684	0.06%	72.47%	1468	good
413	挙	68171	0.06%	72.54%	1938	raise
414	素	67632	0.06%	72.60%	1532	elementary
415	橋	67172	0.06%	72.67%	429	bridge
416	歳	67129	0.06%	72.73%	512	year-end
417	容	66986	0.06%	72.79%	790	contain
418	投	66958	0.06%	72.86%	706	throw
419	師	66853	0.06%	72.92%	1269	expert
420	比	66576	0.06%	72.98%	447	compare
421	資	66486	0.06%	73.04%	473	assets
422	寺	66433	0.06%	73.11%	158	Buddhist temple
423	導	66161	0.06%	73.17%	278	guidance
424	藤	66067	0.06%	73.23%	1210	wisteria
425	細	65629	0.06%	73.29%	1363	dainty
426	増	65521	0.06%	73.35%	502	increase
427	周	65359	0.06%	73.42%	317	circumference
428	郎	65187	0.06%	73.48%	1851	son
429	江	64989	0.06%	73.54%	139	creek
430	帝	64902	0.06%	73.60%	435	sovereign
431	商	64648	0.06%	73.66%	439	make a deal
432	白	64477	0.06%	73.72%	37	white
433	価	64292	0.06%	73.78%	1603	value
434	完	63775	0.06%	73.84%	187	perfect
435	展	63323	0.06%	73.90%	1925	unfold
436	去	63285	0.06%	73.96%	750	gone
437	率	63062	0.06%	74.02%	1737	ratio
438	程	62641	0.06%	74.08%	894	extent
439	照	62569	0.06%	74.14%	170	illuminate
440	響	62404	0.06%	74.20%	1850	echo
441	父	62360	0.06%	74.26%	1274	father
442	害	61911	0.06%	74.32%	1551	harm
